timestamp, actor_id, actor_type, event_type, cell_x, cell_y
1659305496, 230, player, created, 7, 8
1659305496, 230, player, destroyed, 7, 9
1659305496, 231, player, created, 7, 9
1659305500, 231, player, destroyed, 13, 5
1659305500, 232, player, created, 13, 5
1659305503, 232, player, destroyed, 2, 6
1659305503, 233, player, created, 2, 6
1659305503, 233, player, destroyed, 26, 6
1659305503, 234, player, created, 26, 6
1659305505, 234, player, destroyed, 10, 13
1659305505, 235, player, created, 10, 13
1659305505, 235, player, destroyed, 19, 12
1659305505, 236, player, created, 19, 12
1659305505, 236, player, destroyed, 7, 11
1659305505, 237, player, created, 7, 11
1659305506, 237, player, destroyed, 13, 5
1659305506, 238, player, created, 13, 5
1659305506, 238, player, destroyed, 16, 11
1659305506, 239, player, created, 16, 11
1659305506, 239, player, destroyed, 2, 6
1659305506, 240, player, created, 2, 6
1659305507, 240, player, destroyed, 7, 6
1659305507, 241, player, created, 7, 6
1659305510, 241, player, destroyed, 19, 13
1659305510, 242, player, created, 19, 13
1659305511, 242, player, destroyed, 27, 3
1659305511, 243, player, created, 27, 3
1659305511, 243, player, destroyed, 27, 9
1659305511, 244, player, created, 27, 9
1659305511, 244, player, destroyed, 19, 6
1659305511, 245, player, created, 19, 6
1659305513, 245, player, destroyed, 16, 3
1659305513, 246, player, created, 16, 3
1659305513, 246, player, destroyed, 2, 12
1659305513, 247, player, created, 2, 12
1659305524, 247, player, destroyed, 10, 13
1659305524, 248, player, created, 10, 13
1659305524, 248, player, destroyed, 2, 8
1659305524, 249, player, created, 2, 8
1659305524, 249, player, destroyed, 2, 12
1659305524, 250, player, created, 2, 12
1659305525, 250, player, destroyed, 22, 7
1659305525, 251, player, created, 22, 7
1659305526, 251, player, destroyed, 22, 6
1659305526, 252, player, created, 22, 6
1659305527, 252, player, destroyed, 7, 4
1659305527, 253, player, created, 7, 4
1659305527, 253, player, destroyed, 22, 3
1659305527, 254, player, created, 22, 3
1659305528, 254, player, destroyed, 10, 12
1659305528, 255, player, created, 10, 12
1659305529, 255, player, destroyed, 22, 11
1659305529, 256, player, created, 22, 11
1659305531, 256, player, destroyed, 2, 7
1659305531, 257, player, created, 2, 7
1659305532, 257, player, destroyed, 27, 6
1659305532, 258, player, created, 27, 6
1659305533, 258, player, destroyed, 16, 4
1659305533, 259, player, created, 16, 4
1659305533, 259, player, destroyed, 2, 2
1659305533, 260, player, created, 2, 2
1659305537, 260, player, destroyed, 15, 12
1659305537, 261, player, created, 15, 12
1659305537, 261, player, destroyed, 12, 12
1659305537, 262, player, created, 12, 12
1659305538, 262, player, destroyed, 10, 13
1659305538, 263, player, created, 10, 13
1659305539, 263, player, destroyed, 26, 6
1659305539, 264, player, created, 26, 6
1659305539, 264, player, destroyed, 25, 6
1659305539, 265, player, created, 25, 6
1659305539, 265, player, destroyed, 19, 13
1659305539, 266, player, created, 19, 13
1659305540, 266, player, destroyed, 7, 8
1659305540, 267, player, created, 7, 8
1659305541, 267, player, destroyed, 27, 2
1659305541, 268, player, created, 27, 2
1659305545, 268, player, destroyed, 2, 2
1659305545, 269, player, created, 2, 2
1659305545, 269, player, destroyed, 19, 8
1659305545, 270, player, created, 19, 8
1659305546, 270, player, destroyed, 7, 7
1659305546, 271, player, created, 7, 7
1659305546, 271, player, destroyed, 2, 3
1659305546, 272, player, created, 2, 3
1659305547, 272, player, destroyed, 22, 8
1659305547, 273, player, created, 22, 8
1659305548, 273, player, destroyed, 27, 3
1659305548, 274, player, created, 27, 3
1659305548, 274, player, destroyed, 22, 6
1659305548, 275, player, created, 22, 6
1659305549, 275, player, destroyed, 2, 9
1659305549, 276, player, created, 2, 9
1659305552, 276, player, destroyed, 25, 9
1659305552, 277, player, created, 25, 9
1659305553, 277, player, destroyed, 13, 6
1659305553, 278, player, created, 13, 6
1659305554, 278, player, destroyed, 27, 7
1659305554, 279, player, created, 27, 7
1659305554, 279, player, destroyed, 22, 2
1659305554, 280, player, created, 22, 2
1659305554, 280, player, destroyed, 27, 6
1659305554, 281, player, created, 27, 6
1659305555, 281, player, destroyed, 10, 13
1659305555, 282, player, created, 10, 13
1659305556, 282, player, destroyed, 27, 6
1659305556, 283, player, created, 27, 6
1659305559, 283, player, destroyed, 7, 6
1659305559, 284, player, created, 7, 6
1659305559, 284, player, destroyed, 26, 6
1659305559, 285, player, created, 26, 6
1659305561, 285, player, destroyed, 2, 8
1659305561, 286, player, created, 2, 8
1659305561, 286, player, destroyed, 2, 8
1659305561, 287, player, created, 2, 8
1659305561, 287, player, destroyed, 13, 3
1659305561, 288, player, created, 13, 3
1659305561, 288, player, destroyed, 2, 6
1659305561, 289, player, created, 2, 6
1659305562, 289, player, destroyed, 27, 3
1659305562, 290, player, created, 27, 3
1659305562, 290, player, destroyed, 16, 4
1659305562, 291, player, created, 16, 4
1659305562, 291, player, destroyed, 2, 3
1659305562, 292, player, created, 2, 3
1659305562, 292, player, destroyed, 2, 3
1659305562, 293, player, created, 2, 3
1659305563, 293, player, destroyed, 16, 3
1659305563, 294, player, created, 16, 3
1659305565, 294, player, destroyed, 13, 11
1659305565, 295, player, created, 13, 11
1659305565, 295, player, destroyed, 27, 12
1659305565, 296, player, created, 27, 12
1659305566, 296, player, destroyed, 22, 10
1659305566, 297, player, created, 22, 10
1659305566, 297, player, destroyed, 27, 3
1659305566, 298, player, created, 27, 3
1659305567, 298, player, destroyed, 13, 5
1659305567, 299, player, created, 13, 5
1659305571, 299, player, destroyed, 4, 13
1659305571, 300, player, created, 4, 13
1659305574, 300, player, destroyed, 7, 7
1659305574, 301, player, created, 7, 7
1659305575, 301, player, destroyed, 27, 7
1659305575, 302, player, created, 27, 7
1659305576, 302, player, destroyed, 2, 4
1659305576, 303, player, created, 2, 4
1659305576, 303, player, destroyed, 13, 3
1659305576, 304, player, created, 13, 3
1659305576, 304, player, destroyed, 19, 7
1659305576, 305, player, created, 19, 7
1659305576, 305, player, destroyed, 22, 6
1659305576, 306, player, created, 22, 6
1659305576, 306, player, destroyed, 22, 7
1659305576, 307, player, created, 22, 7
1659305577, 307, player, destroyed, 2, 8
1659305577, 308, player, created, 2, 8
1659305578, 308, player, destroyed, 17, 9
1659305578, 309, player, created, 17, 9
1659305581, 309, player, destroyed, 27, 5
1659305581, 310, player, created, 27, 5
1659305582, 310, player, destroyed, 2, 6
1659305582, 311, player, created, 2, 6
1659305583, 311, player, destroyed, 27, 7
1659305583, 312, player, created, 27, 7
1659305586, 312, player, destroyed, 15, 12
1659305586, 313, player, created, 15, 12
1659305586, 313, player, destroyed, 22, 12
1659305586, 314, player, created, 22, 12
1659305588, 314, player, destroyed, 27, 3
1659305588, 315, player, created, 27, 3
1659305588, 315, player, destroyed, 16, 4
1659305588, 316, player, created, 16, 4
1659305589, 316, player, destroyed, 27, 9
1659305589, 317, player, created, 27, 9
1659305589, 317, player, destroyed, 27, 8
1659305589, 318, player, created, 27, 8
1659305590, 318, player, destroyed, 13, 5
1659305590, 319, player, created, 13, 5
1659305591, 319, player, destroyed, 22, 7
1659305591, 320, player, created, 22, 7
1659305592, 320, player, destroyed, 10, 13
1659305592, 321, player, created, 10, 13
1659305592, 321, player, destroyed, 14, 12
1659305592, 322, player, created, 14, 12
1659305593, 322, player, destroyed, 13, 11
1659305593, 323, player, created, 13, 11
1659305593, 323, player, destroyed, 14, 12
1659305593, 324, player, created, 14, 12
1659305594, 324, player, destroyed, 22, 10
1659305594, 325, player, created, 22, 10
1659305594, 325, player, destroyed, 22, 11
1659305594, 326, player, created, 22, 11
1659305594, 326, player, destroyed, 19, 12
1659305594, 327, player, created, 19, 12
1659305596, 327, player, destroyed, 16, 3
1659305596, 328, player, created, 16, 3
1659305597, 328, player, destroyed, 10, 12
1659305597, 329, player, created, 10, 12
1659305598, 329, player, destroyed, 13, 5
1659305598, 330, player, created, 13, 5
1659305598, 330, player, destroyed, 19, 6
1659305598, 331, player, created, 19, 6
1659305599, 331, player, destroyed, 10, 12
1659305599, 332, player, created, 10, 12
1659305599, 332, player, destroyed, 22, 6
1659305599, 333, player, created, 22, 6
1659305602, 333, player, destroyed, 2, 3
1659305602, 334, player, created, 2, 3
1659305603, 334, player, destroyed, 13, 3
1659305603, 335, player, created, 13, 3
1659305604, 335, player, destroyed, 7, 3
1659305604, 336, player, created, 7, 3
1659305604, 336, player, destroyed, 16, 6
1659305604, 337, player, created, 16, 6
1659305604, 337, player, destroyed, 16, 4
1659305604, 338, player, created, 16, 4
1659305605, 338, player, destroyed, 27, 4
1659305605, 339, player, created, 27, 4
1659305605, 339, player, destroyed, 2, 3
1659305605, 340, player, created, 2, 3
1659305606, 340, player, destroyed, 21, 2
1659305606, 341, player, created, 21, 2
1659305606, 341, player, destroyed, 7, 2
1659305606, 342, player, created, 7, 2
1659305608, 342, player, destroyed, 19, 13
1659305608, 343, player, created, 19, 13
1659305609, 343, player, destroyed, 7, 6
1659305609, 344, player, created, 7, 6
1659305610, 344, player, destroyed, 13, 11
1659305610, 345, player, created, 13, 11
1659305610, 345, player, destroyed, 2, 6
1659305610, 346, player, created, 2, 6
1659305611, 346, player, destroyed, 14, 12
1659305611, 347, player, created, 14, 12
1659305612, 347, player, destroyed, 13, 12
1659305612, 348, player, created, 13, 12
1659305613, 348, player, destroyed, 22, 9
1659305613, 349, player, created, 22, 9
1659305614, 349, player, destroyed, 27, 12
1659305614, 350, player, created, 27, 12
1659305616, 350, player, destroyed, 16, 5
1659305616, 351, player, created, 16, 5
1659305617, 351, player, destroyed, 2, 11
1659305617, 352, player, created, 2, 11
1659305618, 352, player, destroyed, 13, 5
1659305618, 353, player, created, 13, 5
1659305624, 353, player, destroyed, 2, 7
1659305624, 354, player, created, 2, 7
1659305624, 354, player, destroyed, 16, 10
1659305624, 355, player, created, 16, 10
1659305624, 355, player, destroyed, 27, 12
1659305624, 356, player, created, 27, 12
1659305627, 356, player, destroyed, 7, 6
1659305627, 357, player, created, 7, 6
1659305628, 357, player, destroyed, 27, 4
