timestamp, actor_id, actor_type, event_type, cell_x, cell_y, genes
1663162772, 18, player, created, 7, 3, { [ ( -0.36381064943868) ( 0.39184570188173) ( -0.84440460244927) ( -0.87933987142511) ( -0.80798058471452) ( 0.4593386955164)] [ ( 0.99975052949835 0.63933298883613 0.12071700908216 0.44006369741456 0.65497452170754 0.42416719058362) ( -0.7259778130569 0.42597677776719 -0.02920627848694 0.1916286456951 -0.4014045725669 -0.030558793935632) ( -0.030495742477502 -0.38466047310343 -0.84707432751063 0.21726701015132 0.4705977158244 0.34219529733162)] [ ( -0.62404353225497 0.53724320063249 -0.74322619063327)]}
1663162773, 18, player, destroyed, 16, 5, { [ ( -0.36381064943868) ( 0.39184570188173) ( -0.84440460244927) ( -0.87933987142511) ( -0.80798058471452) ( 0.4593386955164)] [ ( 0.99975052949835 0.63933298883613 0.12071700908216 0.44006369741456 0.65497452170754 0.42416719058362) ( -0.7259778130569 0.42597677776719 -0.02920627848694 0.1916286456951 -0.4014045725669 -0.030558793935632) ( -0.030495742477502 -0.38466047310343 -0.84707432751063 0.21726701015132 0.4705977158244 0.34219529733162)] [ ( -0.62404353225497 0.53724320063249 -0.74322619063327)]}
1663162773, 19, player, created, 16, 5, { [ ( 0.89378701203414) ( 0.15293659785081) ( 0.16575257548539) ( 0.52419805836855) ( -0.51576478779357) ( 0.9059134305268)] [ ( -0.93397525699653 0.38173269937453 0.19682560229741 0.21991313893746 0.69506161733669 -0.37182650237326) ( 0.70170756074794 -0.35621600103924 -0.78763179313067 -0.10175197351323 -0.57362287374322 0.44223242004208) ( -0.42748624487593 0.17818198340892 -0.097931477598946 0.3227591973901 0.016130004000187 0.14743881531432)] [ ( 0.020601799788498 -0.14145458339126 -0.32320958589576)]}
1663162773, 19, player, destroyed, 10, 13, { [ ( 0.89378701203414) ( 0.15293659785081) ( 0.16575257548539) ( 0.52419805836855) ( -0.51576478779357) ( 0.9059134305268)] [ ( -0.93397525699653 0.38173269937453 0.19682560229741 0.21991313893746 0.69506161733669 -0.37182650237326) ( 0.70170756074794 -0.35621600103924 -0.78763179313067 -0.10175197351323 -0.57362287374322 0.44223242004208) ( -0.42748624487593 0.17818198340892 -0.097931477598946 0.3227591973901 0.016130004000187 0.14743881531432)] [ ( 0.020601799788498 -0.14145458339126 -0.32320958589576)]}
1663162773, 20, player, created, 10, 13, { [ ( -0.41107731741533) ( 0.94383554267393) ( -0.77935064898051) ( -0.58077284694849) ( 0.55507665157646) ( -0.83979880120472)] [ ( 0.11378179936918 -0.82197908632134 -0.85887101328849 0.04511423691846 -0.038477159954335 -0.37178026577871) ( 0.66613312236438 0.098321801631779 -0.55608781254298 0.34313491002133 0.021173616316554 -0.79514993132056) ( 0.91847206708733 -0.24292129374699 0.020646732499198 0.99956821729576 -0.37202929716395 0.93042267339738)] [ ( 0.13234447310762 0.73428918041531 0.65066435771483)]}
1663162774, 20, player, destroyed, 27, 5, { [ ( -0.41107731741533) ( 0.94383554267393) ( -0.77935064898051) ( -0.58077284694849) ( 0.55507665157646) ( -0.83979880120472)] [ ( 0.11378179936918 -0.82197908632134 -0.85887101328849 0.04511423691846 -0.038477159954335 -0.37178026577871) ( 0.66613312236438 0.098321801631779 -0.55608781254298 0.34313491002133 0.021173616316554 -0.79514993132056) ( 0.91847206708733 -0.24292129374699 0.020646732499198 0.99956821729576 -0.37202929716395 0.93042267339738)] [ ( 0.13234447310762 0.73428918041531 0.65066435771483)]}
1663162774, 21, player, created, 27, 5, { [ ( 0.68468575714919) ( 0.5747114622813) ( 0.72147258241746) ( 0.69279261542194) ( 0.53987178361634) ( 0.33257978981799)] [ ( -0.49932335557959 0.27737941424402 0.084558343899095 0.66753715813391 0.24685010981667 -0.16406468121305) ( -0.27169317536423 0.89566138169477 -0.26963389506081 -0.82511989447223 0.027633659445623 0.093468460690266) ( 0.66602051497748 0.9248390795 0.78980281571116 0.27589220883228 -0.32720051106403 -0.45398775713763)] [ ( 0.59940025405023 -0.92188217413088 -0.7032564100727)]}
1663162774, 21, player, destroyed, 26, 2, { [ ( 0.68468575714919) ( 0.5747114622813) ( 0.72147258241746) ( 0.69279261542194) ( 0.53987178361634) ( 0.33257978981799)] [ ( -0.49932335557959 0.27737941424402 0.084558343899095 0.66753715813391 0.24685010981667 -0.16406468121305) ( -0.27169317536423 0.89566138169477 -0.26963389506081 -0.82511989447223 0.027633659445623 0.093468460690266) ( 0.66602051497748 0.9248390795 0.78980281571116 0.27589220883228 -0.32720051106403 -0.45398775713763)] [ ( 0.59940025405023 -0.92188217413088 -0.7032564100727)]}
1663162774, 22, player, created, 26, 2, { [ ( 0.88168279836686) ( -0.28541993545201) ( -0.12856739531662) ( -0.31743448056106) ( 0.72245867571283) ( -0.87123945596568)] [ ( 0.68544060908198 0.30892276868064 0.2356270243477 -0.17574236485483 0.66461209604858 -0.39397180610988) ( -0.18621688897693 -0.68333551096746 0.4474266500217 -0.30101931530618 0.62101936870356 -0.50565133152849) ( -0.26993041617383 0.66443608137853 -0.057865755853393 -0.12827754956323 0.62184800597121 0.86016515022897)] [ ( -0.039079489926549 -0.36639729094571 -0.95677770825513)]}
1663162774, 22, player, destroyed, 13, 12, { [ ( 0.88168279836686) ( -0.28541993545201) ( -0.12856739531662) ( -0.31743448056106) ( 0.72245867571283) ( -0.87123945596568)] [ ( 0.68544060908198 0.30892276868064 0.2356270243477 -0.17574236485483 0.66461209604858 -0.39397180610988) ( -0.18621688897693 -0.68333551096746 0.4474266500217 -0.30101931530618 0.62101936870356 -0.50565133152849) ( -0.26993041617383 0.66443608137853 -0.057865755853393 -0.12827754956323 0.62184800597121 0.86016515022897)] [ ( -0.039079489926549 -0.36639729094571 -0.95677770825513)]}
